address,huanjing,jiage,louceng,mianji,shi,ting,title,xqname
高新区-大寨路 团结南路,"合租,朝南,有电梯,3/5号线",680,低层(共25层)                                                            ,30,3,2,押一付一 （融侨城 出租）牡丹庄园华府新桃园昆明花园雅逸花园,融侨城(西区二三四期)
高新区-科技六路 鱼化一路,"合租,朝南,有电梯",600,中层(共34层)                                                            ,25,4,1,丈八四路环普产业园华为研究所新长安广场软件新城阳台月付,保利天悦三期
高新区-丈八西路 丈八西路,"合租,朝南,6号线",1000,中层(共27层)                                                            ,31,2,1,西三环  华为 半导体 中软 环普 西沙湖花园 全女生合租,西滩村安置小区
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",650,中层(共33层)                                                            ,28,4,2,丈八北路环普产业园远西安软件园高新医院南窑头社区绿港花园,保利双水磨小区
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",600,高层(共33层)                                                            ,15,5,0,直租单间 保利双水磨 无押金 南北通透,保利双水磨小区
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",750,中层(共30层)                                                            ,28,3,1,丈八北路地铁 金辉高新云璟 精装次卧阳台 电梯房 随时可看房,金辉高新云璟
高新区-高新一中 唐延路31号,"合租,朝南,有电梯,6号线",699,高层(共27层)                                                            ,20,3,2,木塔寺地铁口 科技六路 新长安广场 唐延南路 旺座现代城,地电广场
"高新区-鱼化寨 富源三路,近富裕一路","合租,朝南,有电梯,5号线",550,中层(共10层)                                                            ,27,5,0,直租特价500起单间西三环立讯学院紫薇西棠精美单间押一付一,紫薇西棠
高新区-木塔寺公园 高新路88号,"合租,朝南,有电梯,6号线",450,低层(共31层)                                                            ,20,3,1,太白里 建邦华庭 尚品国际 兰岛广场 万达西安 旺座现代城,尚品国际
"高新区-科技路 科技路,近高新四路","整租,南北,有电梯,3/5/6号线",2400,高层(共34层)                                                            ,55,1,1,毕业季便宜出租 真实图片  2400大都荟 新西蓝贤道九号,高新大都荟
"高新区-科技六路 科技五路,近沣惠南路","合租,朝南,有电梯,6号线",600,中层(共32层)                                                            ,29,3,2,月付短租 摩尔中心 西安软件园 新长安广场 旺座现代城,数字生活
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",650,高层(共32层)                                                            ,28,2,2,鱼化寨地铁口 中航华府 金泰怡景花园 外事学院 东方米兰国际,中航华府
高新区-大寨路 团结南路,"合租,朝南,有电梯,3/5号线",699,高层(共35层)                                                            ,30,3,2,直租大寨路 金光门 太和时代广场 沣惠南路 延平门唐延国际城,融侨城(西区二三四期)
高新区-科技路 高新四路8号,"合租,朝南,有电梯,3/5/6号线",600,中层(共28层)                                                            ,30,3,2,无押金无中介 延平门地铁口 高新大都荟 新西蓝二期 禾盛京广,新西蓝二期
高新区-昆明路 丈八北路709号,"合租,朝南,有电梯,3/5号线",1050,低层(共32层)                                                            ,26,3,1,爱西华庭 主卧独立卫生间 汉城南路 丈八北路 旭景碧泽园,爱西华庭
高新区-都市之门 太白南路39号,"合租,朝南,有电梯,6号线",450,中层(共31层)                                                            ,20,3,1,天正幸福里 锦业时代 中投国际 锦业路 丈八一路 陕煤小区,天正幸福里
高新区-科技路西口 科技路299号,"合租,朝南,有电梯,3号线",890,低层(共28层)                                                            ,26,2,1,白领公寓 丈八北路 伟业公馆 枫韵蓝湾 天朗蓝湖树 可做饭,伟业公馆
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",999,中层(共32层)                                                            ,40,2,2,科技四路 绿港花园 超大主卧带阳台 立人科技 南窑头,绿港花园
高新区-科技路 团结南路2号,"合租,朝南,有电梯,3号线",600,高层(共32层)                                                            ,30,3,2,延平门地铁口（高科新花园 出租）伟业公馆枫叶新都市高科花园,高科新花园
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",699,高层(共34层)                                                            ,26,3,2,直达软件新城 鱼化寨地铁口 西窑头 欣桥市场 国家出版社基地,华洲城云顶
高新区-高新一中 科技二路77号,"合租,朝南,有电梯,3号线",680,低层(共28层)                                                            ,20,5,1,短租月付 西安软件园 科技二路 盛方科技园 高新医院,光电园小区
高新区-大寨路 团结南路,"合租,南北,有电梯,3/5号线",650,低层(共30层)                                                            ,20,4,3,可短租月付 金光门 延平门地铁口 大寨路 大都会附近 精装,融侨城(西区二三四期)
高新区-丈八西路 丈八四路,"合租,朝南,有电梯,6号线",750,中层(共33层)                                                            ,30,3,2,月付丈八四路地铁口 罗马景福城 缤纷南郡 丈八一号 高科尚都,丈八一号
高新区-科技路 科技路18号,"合租,朝南,有电梯,3/5/6号线",700,低层(共30层)                                                            ,33,3,1,捡漏房源 可月付 3号线 科技路 太白南路 太白小区附近主卧,新科大厦
高新区-大寨路 团结南路,"合租,朝南,有电梯,3/5号线",400,低层(共26层)                                                            ,20,3,2,太和时代广场 金光门地铁口 中晶科技广场 团结南路 大寨路,融侨城(西区二三四期)
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",650,高层(共34层)                                                            ,25,5,1,无中阶费 可月付  新长安广场 保利双水磨新出阳台卧室,保利双水磨小区
高新区-锦业路 锦业路40号,"合租,朝南,有电梯,6号线",950,中层(共33层)                                                            ,35,3,2,丈八四路地铁口西港雅苑绿地世纪城缤纷南郡罗马景福陈多套月付,西港雅苑
"高新区-高新四路 高新四路,近科技路","合租,朝南,有电梯,3/5/6号线",655,低层(共28层)                                                            ,25,3,1,月付 延平门 旺座国际城 西辛庄 中晶科技广场 外事学院,世纪颐园
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",750,中层(共30层)                                                            ,30,4,2,月付 科技六路 保利双水磨 新长安广场 旺座现代城 摩尔中心,保利双水磨小区
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",750,中层(共31层)                                                            ,25,3,2,月付 环普产业园 腾飞科汇城 欧森国际 数字出版社 半导体,漳浒寨雷家寨安置楼
"高新区-大寨路 团结南路,近大寨路","合租,朝南,有电梯,3/5号线",550,中层(共32层)                                                            ,25,3,2,延平门地铁口太和时代旺座国际高新医院群贤汇大寨路金光门地铁站,中建群贤汇
高新区-木塔寺公园 高新路88号,"合租,朝南,有电梯,6号线",650,中层(共28层)                                                            ,28,3,1,可月付（尚品国际出租）木塔寺地铁口万达天玺橡树街区枫林绿洲,尚品国际
"高新区-鱼化寨 富鱼路,近经十五路","合租,朝南,有电梯,3号线",720,中层(共33层)                                                            ,25,4,1,实图月付 鱼化寨 欣桥市场 环普中软 软件新城 华洲城精装修,金泰怡景花园
高新区-锦业路 锦业路40号,"合租,朝北,有电梯,6号线",400,高层(共32层)                                                            ,12,5,1,锦业路丈八四路西港雅苑合租公寓阳光小次卧干净卫生押一付一,西港雅苑
高新区-科技西路 科技路82号,"合租,朝南,有电梯,3号线",650,高层(共28层)                                                            ,25,3,2,首月免房租 都市印象 丈八北路地铁口 科技西路 外事学院南区,城市风景都市印象
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",888,中层(共35层)                                                            ,30,3,2,直租环普 西三环 华为 欧森国际 腾飞科汇城 国际数字出版社,漳浒寨雷家寨安置楼
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",500,中层(共32层)                                                            ,26,3,2,直租单间 绿港花园 无押金 次卧独卫均有,绿港花园
高新区-科技六路 团结南路18号,"合租,朝南,有电梯,3/5号线",850,高层(共30层)                                                            ,20,3,1,可月付 团结南路 大寨路 融侨城 东方米兰 晶鑫商业广场,盛景园
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",750,高层(共28层)                                                            ,25,3,1,直租无中介 天谷六路 西三环 环普科技园 欧森国际 精装全配,漳浒寨雷家寨安置楼
高新区-鱼化寨 鱼斗路,"合租,朝南,有电梯",630,高层(共32层)                                                            ,27,5,0,直租月付 环普欧森国际精美单间主卧独卫兴贺佳苑十年城罗曼尼,兴贺佳苑
"高新区-鱼化寨 富源三路,近富裕一路","合租,朝南,有电梯,5号线",500,中层(共31层)                                                            ,25,3,2,月付 精装 环普产业园 吾悦广场 立讯学院 紫薇西塘,紫薇西棠
"高新区-科技路西口 科技路,近高新六路","合租,朝南,有电梯,3/5号线",920,高层(共31层)                                                            ,34,3,2,全女生 丈八北路地铁口新栋盛大时代万象汇都市印象枫韵蓝湾精装,铂悦
"高新区-大寨路 创新路,近大寨路","合租,朝南,有电梯,3/5号线",700,中层(共32层)                                                            ,30,3,1,短租月付，太和时代广场，金光门地铁，高新医院，安琪儿医院,融侨城(东区一期)
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,3/5号线",500,中层(共34层)                                                            ,26,4,1,无中介费鱼化寨 西窑头 大寨路环普 主卧独卫单间大阳台多套,铭城(西区)
高新区-科技路中段 科技路西段239号,"合租,南北,有电梯,3/5号线",900,中层(共6层)                                                            ,35,4,2,延平门地铁口 押一付一无中介费中华世纪城 新西蓝 高新大都荟,中华世纪城
高新区-大寨路 民新路,"合租,朝南,有电梯,3/5号线",600,低层(共30层)                                                            ,23,3,2,汉城南路地铁口 昆明路 旭景碧泽园 枫林华府 西北工业大学,铭景新城
高新区-锦业路 唐延南路11号,"整租,朝南,有电梯,6号线",1600,高层(共32层)                                                            ,59,1,0,丈八一路 软件园 中心产业园 东方航空 迈克中心 华陆大厦,逸翠园i都会
高新区-锦业路 锦业路36号,"合租,朝南,有电梯,6号线",450,中层(共32层)                                                            ,19,3,2,月付 西安软件园 都市之门 宝德云谷 锦业时代 龙旗科技园,旗远锦樾
高新区-科技六路 团结南路18号,"合租,朝南,有电梯,3/5号线",800,高层(共30层)                                                            ,20,3,1,可月付 团结南路 安琪儿医院 东方米兰 中建国熙台 全女生,盛景园
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",900,低层(共32层)                                                            ,30,2,2,押一付一无中介 科技五路 茶张馨苑 双水磨 三室合租来电咨询,保利双水磨小区
高新区-科技路中段 科技路298号,"合租,朝南,有电梯,3号线",599,中层(共26层)                                                            ,25,3,1,可月付 延平门地铁口 丈八北路 科技路 软件园 泰华金茂,紫薇臻品
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",600,中层(共26层)                                                            ,26,3,2,押一付一（枫叶新都市）禾盛京广 高新医院 高科新花园 陈家庄,枫叶新都市
高新区-科技路 科技路209号,"合租,朝南,有电梯,3/5/6号线",600,中层(共32层)                                                            ,26,3,2,延平门地铁口 新西蓝一期 大都荟 中华世纪城 枫叶新都市,新西蓝(一期)
"高新区-科技六路 南二环路,近丰登路","合租,朝南,有电梯,3/5号线",860,高层(共30层)                                                            ,30,2,2,0中介 南二环 金光门 高新左岸 莱安逸境 主卧带阳台 全配,高新左岸
"高新区-鱼化寨 富源三路,近富裕一路","合租,朝南,有电梯,5号线",500,低层(共9层)                                                            ,28,5,0,直租月付吾悦广场立迅学院精美单间拎包入住押一付一,紫薇西棠
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",500,中层(共30层)                                                            ,30,5,0,（直租）月付 中航华府包物业网精装 大寨路   鱼化寨地铁口,中航华府
高新区-丈八西路 丈八西路,"合租,朝南,有电梯,6号线",850,中层(共30层)                                                            ,30,3,1,西沙湖花园 华为西安研究所 腾飞科汇城 软件新城 瞪羚谷,西滩村安置小区
高新区-科技六路 团结南路18号,"合租,朝南,有电梯,3/5号线",700,中层(共32层)                                                            ,30,4,1,可月付延平门地铁口 科技路 大寨路 昆明路 融侨城 团结南路,盛景园
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",650,中层(共33层)                                                            ,28,4,1,直租，月付，丈八北路地铁口，高新医院，外事学院，主卧次卧都有,金辉高新云璟
高新区-逸翠园 锦业二路10号,"合租,朝南,有电梯,6号线",700,中层(共28层)                                                            ,27.3,3,2,直租月付中兴产业园 高新第五季 南沈新苑 海亮新英里 逸翠园,逸翠园(别墅)
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",600,中层(共28层)                                                            ,28,3,2,丈八北路地铁口 金辉高新云景大茂城外事学院大寨路独卫阳台月付,金辉高新云璟
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",600,低层(共28层)                                                            ,28,3,2,短租月付 枫叶新都市 高科新花园 高新大都荟 新西蓝,枫叶新都市
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",500,高层(共34层)                                                            ,25,3,2,直租 鱼化寨地铁口 华洲城云顶 无押金,华洲城云顶
"高新区-鱼化寨 西三环,近科技二路","合租,朝南,有电梯,3号线",550,高层(共28层)                                                            ,30,3,2,南飞鸿十年城次卧，鱼化寨地铁口，环普科技圆，西安职业技术学院,南飞鸿十年城
高新区-唐延路 沣惠南路2号,"合租,朝南,有电梯,3号线",600,中层(共32层)                                                            ,30,3,2,地铁口主卧（枫叶新都市 出租）中华世纪城新西蓝大都荟世纪颐园,枫叶新都市
"高新区-大寨路 创新路,近大寨路","合租,朝南,有电梯,3/5号线",650,低层(共33层)                                                            ,26,3,2,押一付一 实拍图 团结南路 太和时代广场 晶鑫商业广场 阳台,融侨城(东区一期)
高新区-丈八西路 丈八四路,"合租,朝南,有电梯,6号线",750,中层(共30层)                                                            ,30,2,2,丈八四路地铁口 华为 锦业时代 蓝海大厦 华陆大厦 嘉昱大厦,丈八一号
高新区-大寨路 大寨路,"合租,朝南,有电梯,5号线",600,低层(共31层)                                                            ,25,3,1,月付  精装 丈八北路地铁 铭城东区 恒大城 直租 无中介,铭城(东区)
高新区-都市之门 太白南路39号,"合租,朝南,有电梯,6号线",600,中层(共34层)                                                            ,25,4,1,短租 都市之门 中投国际 丈八一路 领海大厦 万熙天地 立丰,天正幸福里
高新区-科技路西口 鱼化寨街,"合租,朝南,有电梯,3号线",688,高层(共34层)                                                            ,26,3,2,直租外事学院 丈八北路地铁口 科技二路 西安软件园 零壹广场,左岸春天
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,3/5号线",600,高层(共30层)                                                            ,18,3,2,无管理费 鱼化寨 铭城国际 外事学院 金辉国际广场 拎包入住,铭城(西区)
高新区-木塔寺公园 科技六路,"整租,南北,有电梯,6号线",1800,高层(共38层)                                                            ,43,1,1,木塔寺地铁口 文理学院 甘家寨 枫林绿洲 高新万达 云顶园,香榭兰岛
"高新区-大寨路 团结南路,近无名路","合租,朝南,有电梯,3/5号线",800,中层(共32层)                                                            ,20,3,1,首月免租金 汉城南路地铁口 大寨路 太和时代广场 直租无中介,高新枫林华府
高新区-科技六路 团结南路,"合租,朝南,有电梯,6号线",600,中层(共28层)                                                            ,30,3,1,月付茶张馨苑国宾中央区保利双水磨陕西宾馆利君明天赢园雅筑,南窑头社区西区
高新区-二环南路西段 南二环,"整租,朝南,有电梯,3/5号线",2100,高层(共30层)                                                            ,43.1,1,0,群贤道九号 1室0厅1卫 2200元月 精装修 电梯房,群贤道九号
"高新区-科技六路 南二环路,近丰登路","合租,朝南,有电梯,3/5号线",666,高层(共33层)                                                            ,20,3,1,金光门地铁口 丰庆公园 高新左岸 三室合租 带厨房,高新左岸
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",600,高层(共34层)                                                            ,15,4,1,月付主卧独卫 环普直达车 鱼化寨科技路西口 西三环 阿房路,华洲城云顶
高新区-二环南路西段 群贤路6号,"合租,朝南,有电梯,3/5号线",650,低层(共30层)                                                            ,30,3,2,延平们地铁口西安锦都 精装修拎包住,西安锦都
"高新区-鱼化寨 富源三路,近富裕一路","合租,朝南,有电梯,5号线",550,中层(共10层)                                                            ,27,5,0,直租特价500起单间西三环立讯学院紫薇西棠精美单间押一付一,紫薇西棠
高新区-科技六路 团结南路18号,"合租,朝南,有电梯,3/5号线",850,高层(共30层)                                                            ,20,3,1,可月付 团结南路 大寨路 融侨城 东方米兰 晶鑫商业广场,盛景园
高新区-科技六路 科技六路23号,"合租,朝南,有电梯,6号线",550,低层(共32层)                                                            ,20,3,2,木塔寺 科技六路 新长安广场 团结南路 沣惠南路 摩尔中心,数字空间
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",700,低层(共33层)                                                            ,25,3,1,月付 鱼化寨地铁口 环普中软欧森腾飞数字基地直达公交,华洲城云顶
高新区-木塔寺公园 高新路88号,"整租,朝东,有电梯,6号线",1800,中层(共30层)                                                            ,51.4,1,0,木塔寺地铁口 尚品国际 一室开间可主册 看房方便停车方便,尚品国际
高新区-大寨路 大寨路,"合租,朝南,有电梯,5号线",999,中层(共32层)                                                            ,32,3,2,0中介可月付 实图实价 西窑头地铁口 铭城 大寨路 拎包入住,铭城(东区)
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,3/5号线",680,低层(共28层)                                                            ,20,4,1,丈八北路大寨路地铁口附近新乐城合租公寓次卧空调房朝南押一付一,新乐城
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",700,高层(共20层)                                                            ,24,3,1,独卫 月付 次卧 外事学院 丈八北路 地铁 科技路西口 环普,金辉高新云璟
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,3/5号线",1000,中层(共22层)                                                            ,20,3,2,大寨路 铭城国际 鱼化寨地铁 公用厨房 拎包入住,铭城(西区)
高新区-锦业路 丈八三路,"合租,朝南,有电梯,6号线",410,高层(共30层)                                                            ,23,3,2,特价 丈八四路地铁 锦业时代 宝德云谷 粤汉国际 西安软件园,绿地世纪城新里仕嘉公寓(A区)
高新区-大寨路 经十三路,"合租,朝南,有电梯,3/5号线",880,中层(共32层)                                                            ,30,3,1,可月付西窑头地铁口 欣桥市场 华洲城领誉 铭城国际 三室合租,华洲城熙悦都
高新区-科技路 科技路18号,"合租,朝南,有电梯,3/5/6号线",750,中层(共28层)                                                            ,24,2,1,品牌公寓 可月付 太白花园 科技路地铁 同济医院 新科花园,新科大厦
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",600,中层(共33层)                                                            ,25,4,2,可短租丈八北路地铁口 鱼化寨 大寨路 西安外事学院 科技西路,金辉高新云璟
高新区-都市之门 太白南路39号,"整租,南北,6号线",1850,中层(共32层)                                                            ,74.1,2,2,软件园 锦业时代 中铁西安中心 丈八一路 锦业路 陕煤小区,天正幸福里
"高新区-科技路西口 科技路,近丈八北路","合租,朝南,有电梯,3/5号线",850,中层(共26层)                                                            ,25,3,1,丈八北路地铁口 都市印象精装主卧阳台 有厨房 可月付,都市印象SOLO街区
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",750,低层(共28层)                                                            ,30,2,1,科技四路 绿港花园 主卧阳台 三家合租 和发智能大厦 无中介,绿港花园
"高新区-大寨路 创新路,近大寨路","合租,朝南,有电梯,3/5号线",750,中层(共32层)                                                            ,29,3,1,延平门 金光门地铁 旺座国际城 太和时代广场 融侨城 可月付,融侨城(东区一期)
高新区-科技路 科技路20号,"合租,朝南,有电梯,3/5/6号线",850,低层(共30层)                                                            ,30,3,1,科技路地铁口 徐家庄 近沙井村 高新一中 白沙路合租房直租,萨菲尔名邸
高新区-科技六路 团结南路18号,"合租,朝南,有电梯,3/5号线",300,低层(共32层)                                                            ,20,4,1,延平门地铁口 大寨路 金光门地铁口 唐延路 丈八北路地铁口,盛景园
"高新区-紫薇田园都市 定昆池一路,近上林苑一路","合租,朝南,有电梯,6号线",700,低层(共30层)                                                            ,26,3,1,比亚迪 法士特 环普产业园 创汇社区 无中介水电齐全拎包入住,创汇社区(F区)
高新区-紫薇田园都市 西部大道,"合租,朝南",600,高层(共6层)                                                            ,27,3,2,丈八四路 阳光天地 嘉昱大厦 研祥广场 林隐天下 付村花园,紫薇田园都市J区
高新区-昆明路 昆明路,"合租,朝南,有电梯,5号线",500,高层(共17层)                                                            ,20,3,1,石桥立交地铁口 吾悦广场 君和天玺 昆明时光 紫薇西塘可月付,昆明时光3区
"高新区-高新路 高新三路,近光智路","整租,朝南,有电梯,3/5/6号线",1600,中层(共25层)                                                            ,49.6,1,1,高新四路科技路 高新大都荟 财富中心 延平门 可月付 可短租,方舟国际
"高新区-鱼化寨 西三环,近科技六路","合租,朝南,有电梯",788,中层(共35层)                                                            ,26,3,2,无中介主卧阳台 西三环 腾飞科汇城 环普 阿里巴巴 软件新城,云水壹号
高新区-大寨路 纬一路,"合租,朝南,有电梯,3/5号线",700,低层(共30层)                                                            ,24,3,1,无押金 鱼化寨地铁口 华州城云顶 欣桥市场。,华洲城云顶
"高新区-大寨路 科技西路,近丈八北路辅路","合租,朝南,有电梯,3号线",850,高层(共32层)                                                            ,25,3,2,主卧合租 大窗阳台采光好 丈八北路地铁口 高新医院 无杂费,金辉高新云璟
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",888,中层(共35层)                                                            ,30,3,2,直租环普 西三环 华为 欧森国际 腾飞科汇城 国际数字出版社,漳浒寨雷家寨安置楼
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",750,高层(共28层)                                                            ,25,3,1,直租无中介 天谷六路 西三环 环普科技园 欧森国际 精装全配,漳浒寨雷家寨安置楼
高新区-科技路 高新四路8号,"合租,朝南,有电梯,3/5/6号线",600,中层(共28层)                                                            ,30,3,2,无押金无中介 延平门地铁口 高新大都荟 新西蓝二期 禾盛京广,新西蓝二期
高新区-大寨路 大寨路1号,"合租,朝南,有电梯,3/5号线",600,中层(共32层)                                                            ,25,3,2,延平门地铁口 华府新桃园 融侨城 牡丹庄园 太和时代广场,华府新桃园
"高新区-大寨路 团结南路,近大寨路","合租,南北,有电梯,3/5号线",850,高层(共30层)                                                            ,20,2,1,短租月付 三户合租 阳台 独卫 次卧 公用厨房 融侨城 精装,中建群贤汇
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",800,中层(共32层)                                                            ,20,3,2,押一付一 鱼化寨地铁口 大寨路 外事学院 南飞鸿 恒大城,中航华府
高新区-科技六路 双水磨路,"合租,南北,有电梯,6号线",550,高层(共34层)                                                            ,32,4,0,毕业季学生特价无中介多套精美单间主卧独卫立人科技园科技六路,保利双水磨小区
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",750,低层(共33层)                                                            ,28,4,0,精装摩尔中心新长安广场 高新万达 保利双水磨 立人科技南窑头,保利双水磨小区
高新区-科技四路西段 高新六路43号,"合租,朝南",450,中层(共7层)                                                            ,25,3,2,可短租南窑头 西安软件园 环普 欧森国际 中晶科技 绿港花园,绿港花园
高新区-科技六路 双水磨路,"合租,朝南,有电梯,6号线",800,低层(共34层)                                                            ,25,3,2,科技四路 新长安广场 双水磨 九鼎城 多套合租单间出租可选,保利双水磨小区
高新区-科技六路 科技七路2号,"合租,朝南,有电梯,6号线",499,高层(共12层)                                                            ,23,3,2,月付 省体育馆地铁 高新万达 木塔寺 旺座现代城 橡树街区,木塔寨家属院
高新区-科技六路 丈八东路,"合租,朝南,有电梯,6号线",950,高层(共33层)                                                            ,20,3,2,合租 可做饭带飘窗 无中介 都市之门 高新软件园 中铁西安,唐延九珺
"高新区-大寨路 大寨路,近无名路","合租,朝南,有电梯,3/5号线",1050,低层(共28层)                                                            ,28,3,1,大寨路 安琪儿医院 新乐城 丈八北路地铁口 爱西华庭 拎包住,晶鑫华庭
高新区-高新四路 高新三路2号,"合租,朝南,有电梯,3/5/6号线",850,高层(共31层)                                                            ,28,3,2,独卫大阳台 月付 阳光充足 海佳云顶 财富中心 高新大都荟,海佳云顶
"高新区-大寨路 大寨路,近丈八北路","合租,朝南,有电梯,3/5号线",650,中层(共34层)                                                            ,25,4,0,月付直租 鱼化寨地铁口 环普 大寨路 铭城 中航华府,铭城(西区)
高新区-大寨路 昆明路244号,"合租,朝南,有电梯,5号线",500,中层(共30层)                                                            ,30,3,1,首月免房租高新大寨路昆明路晶鑫广场精装修拎包入住直租无中介费,西钞昆明路小区
"高新区-大寨路 团结南路,近无名路","合租,朝南,有电梯,3/5号线",398,中层(共26层)                                                            ,15,3,1,丈八北路地铁口 枫韵蓝湾 伟业公馆 东方米兰 中华世纪城,响塘德苑
高新区-科技路 高新四路8号,"合租,朝南,有电梯,3/5/6号线",650,高层(共32层)                                                            ,29.9,2,1,押一付一（大都荟 出租）旺座国际城创业广场中华世纪城城市皇冠,新西蓝二期
"高新区-大寨路 丰盛路,近大寨路","合租,朝南,有电梯,3/5号线",500,高层(共33层)                                                            ,25,3,2,鱼化寨地铁 绿地鸿海 外事学院 欣桥市场 西窑头 华洲城天峰,华洲城天峰
高新区-大寨路 民新路,"合租,朝南,有电梯,3/5号线",700,低层(共30层)                                                            ,30,3,2,铭景新城 3室2厅2卫 600元月 30平 电梯房,铭景新城
高新区-科技六路 团结南路18号,"合租,朝南,有电梯,3/5号线",750,中层(共28层)                                                            ,30,3,2,真实延平门地铁口 团结南路 大寨路 晶鑫广场 高新六路,盛景园
高新区-科技路 团结南路2号,"合租,朝南,有电梯,3号线",580,高层(共32层)                                                            ,33,3,2,纯女生延平门地铁口高科新花园大都荟群贤汇中华世纪城新西蓝一期,高科新花园
高新区-大寨路 大寨路129号,"合租,朝南,有电梯,3/5号线",652,低层(共34层)                                                            ,25,4,1,直租包维修大寨路丈八北路宏府麒麟山恒大城欣桥市场鱼化寨铭城,宏府麒麟山
高新区-高新路 高新路50号,"合租,朝南,3/5/6号线",700,中层(共6层)                                                            ,15,3,1,实拍 科技路地铁口 高新一中 世纪金花 金鹰广场 知一自习室,皇家花园
高新区-大寨路 大寨路,"合租,朝南,有电梯,3/5号线",650,高层(共32层)                                                            ,28,2,2,鱼化寨地铁口 中航华府 金泰怡景花园 外事学院 东方米兰国际,中航华府
高新区-高新一中 高新二路,"合租,朝南,有电梯,3/6号线",720,低层(共30层)                                                            ,30,3,2,月付 短租 高科花园 甘家寨地铁口 科技路地铁口 太白花园,枫叶别墅苑
"高新区-鱼化寨 西三环,近科技六路","合租,朝南,有电梯",788,低层(共15层)                                                            ,26,3,2,实墙带阳台 环普华为 腾飞科汇城 西三环 阿里巴巴 软件新城,云水壹号
高新区-科技四路西段 高新六路43号,"合租,朝南,有电梯",850,低层(共33层)                                                            ,35,3,2,兄弟 闺蜜房 双人大床 南窑头社区 西安软件园 绿港花园,绿港花园
"高新区-鱼化寨 富鱼路,近经十五路","合租,朝南,有电梯,3号线",720,中层(共33层)                                                            ,25,4,1,实图月付 鱼化寨 欣桥市场 环普中软 软件新城 华洲城精装修,金泰怡景花园
高新区-科技路 高新四路8号,"合租,朝南,有电梯,3/5/6号线",600,高层(共32层)                                                            ,29,3,2,延平门地铁口（新西蓝 出租）中华世纪城高科花园世纪颐园大都荟,新西蓝二期
高新区-都市之门 太白南路39号,"整租,朝南,有电梯,6号线",2200,中层(共32层)                                                            ,95,2,1,太白南路 西万路口 都市之门 东方航空 华陆大厦 中兴产业园,天正幸福里
高新区-高新一中 高新一路31号,"合租,朝南,有电梯,3/5/6号线",750,中层(共28层)                                                            ,20,3,2,科技路地铁口 电信小区 花园印象 枫叶苑北区 欧锦园 直租,电信小区(高新一路)
高新区-鱼化寨 天谷五路,"合租,朝南,有电梯",850,低层(共33层)                                                            ,35,3,1,环普产业园 漳浒寨雷家寨 主卧阳台 三户合租 带厨房,漳浒寨雷家寨安置楼
"高新区-高新路 科技一路,近枫林路","合租,朝南,有电梯,3/6号线",499,高层(共7层)                                                            ,22,2,2,甘家寨地铁口 科技二路 禾盛京广中心 高新一路 精装修全女生,鸿景花园
高新区-软件园 科技四路,"合租,朝南,有电梯",749,中层(共10层)                                                            ,26,3,2,无中介科技二路 环普欧森国际 外事学院 西安软件园 零壹广场,易道郡玫瑰公馆(二期)
"高新区-大寨路 西三环,近纬一路","合租,朝南,有电梯,3/5号线",620,中层(共33层)                                                            ,30,3,1,鱼化寨地铁口环普欧森国际欣桥市场华洲城新加坡腾飞科汇城可月付,石桥欣苑
